time,odometer
2018-11-06T15:59:03.000Z,6962768
2018-11-06T15:59:03.000Z,6962762
2018-11-06T15:59:03.000Z,6962763
2018-11-06T15:59:03.000Z,6962764
2018-11-06T15:59:03.000Z,6962765
2018-11-06T15:59:03.000Z,6962766
2018-11-06T15:59:03.000Z,6962767
2018-11-06T15:59:03.000Z,6962768
2018-11-06T15:59:03.000Z,6962769
2018-11-06T15:59:03.000Z,6962768
2018-11-06T15:59:03.000Z,6962770
2018-11-06T15:59:03.000Z,6962771
2018-11-06T15:59:03.000Z,6962772
2018-11-06T15:59:03.000Z,6962773
2018-11-06T15:59:03.000Z,6962774
2018-11-06T15:59:03.000Z,6962775
2018-11-06T15:59:03.000Z,6962776
2018-11-06T15:59:03.000Z,6962777
2018-11-06T15:59:03.000Z,6962778
2018-11-06T15:59:03.000Z,6962768
2018-11-06T15:59:03.000Z,6962768
2018-11-06T16:59:03.000Z,6962775